procuct,volume,weight,value
n_0,71.5199881,91.59696843,424.8073027
n_1,91.03587479,0.587653365,474.5602497
n_2,16.44338056,79.10135137,292.888385
n_3,67.99056712,90.54204476,711.6250463
n_4,93.1581701,81.20904892,472.4302686
n_5,31.96813111,79.7385603,596.8508138
n_6,40.9650733,64.12868241,661.9678756
n_7,58.37681311,42.17600266,190.7644494
n_8,50.68063244,52.48406512,665.7418283
n_9,88.60130678,26.87500239,81.84530565
n_10,11.09141265,47.96406676,543.8438353
n_11,77.30725569,70.69444062,501.9178696
n_12,93.51460601,42.05388139,879.8487909
n_13,5.136207233,94.81391207,274.8137285
n_14,52.07889241,36.21727234,925.277192
n_15,17.85661847,78.59782443,56.17050029
n_16,90.81270822,60.31317753,117.4632385
n_17,60.86408775,90.68092269,538.2120562
n_18,15.41990813,28.96017974,1.64823177
n_19,35.94757717,22.57585196,721.9769751
n_20,44.02532322,8.653268954,854.5449313
n_21,99.39614032,98.16112654,795.3333993
n_22,35.33226786,12.77576412,209.6808632
n_23,13.92638414,10.82568544,368.0924393
n_24,80.49327587,16.23879145,983.348396
n_25,41.52661058,5.569207699,819.8374069
n_26,23.49068804,2.529049055,688.8284098
n_27,32.97888446,4.96038934,196.8466346
n_28,37.19946735,60.85425499,178.5376797
n_29,38.34424104,70.81939828,93.31779871
n_30,90.82534912,71.59991592,14.44945835
n_31,33.60856939,98.67436625,253.2029797
n_32,34.60342175,42.23172126,599.4059363
n_33,23.5246921,24.62609672,862.7057255
n_34,3.07249817,47.37057819,439.927497
n_35,2.866741655,44.24570111,510.4377606
n_36,11.73865414,8.261199711,665.1104557
n_37,21.35384971,4.762204453,37.99553835
n_38,48.64335073,47.48130948,289.7777249
n_39,11.19839595,84.10471816,601.7176747
n_40,24.63874674,95.93052206,175.2277905
n_41,57.8574511,7.220472358,276.3854327
n_42,46.44239847,54.51186325,708.7771693
n_43,56.4430056,31.10218222,967.728959
n_44,73.793877,32.26857367,658.8109111
n_45,33.15292778,86.07549251,867.1226471
n_46,79.49777826,80.33497151,967.8632099
n_47,81.72212727,21.87630187,546.0691566
n_48,33.32087434,20.2518263,733.944867
n_49,91.38677,53.19124226,29.45384234
n_50,96.28180763,64.94852252,524.4262468
n_51,85.03159084,19.7252853,331.1406426
n_52,68.70245442,59.55607133,853.3148512
n_53,76.61453157,17.46074967,416.5849272
n_54,69.03423423,29.48838437,586.9685857
n_55,65.32245905,96.13618319,28.83252964
n_56,55.93847082,6.046716688,830.8242686
n_57,87.6086156,23.33413478,236.2165648
n_58,21.10368307,21.76476989,818.245549
n_59,10.56853601,81.58942534,957.2761278
n_60,28.06232905,14.30950084,702.4193478
n_61,40.18565032,43.89955005,487.7149142
n_62,14.75485238,24.9668991,95.8216884
n_63,70.76903513,79.01548922,337.9683291
n_64,51.30016995,14.16914398,427.8758714
n_65,60.37196405,15.73733857,22.61694488
n_66,4.925576865,95.95314995,50.17979157
n_67,32.23318632,65.479787,95.72086074
n_68,86.8997499,62.88488689,941.2049476
n_69,23.29037645,62.28464455,706.8436001
n_70,64.21311754,22.19356104,90.98378098
n_71,24.74643506,23.89777013,128.8414934
n_72,81.9111294,52.39255912,782.2439184
n_73,37.92715501,43.91111237,695.9708285
n_74,77.06864514,8.156198537,796.2633931
n_75,85.97974026,91.12658335,255.8002757
n_76,80.81708286,48.2991579,181.2828928
n_77,57.1245624,84.11768763,598.9830767
n_78,89.54487976,83.37996194,690.1062608
n_79,77.63098294,45.85554313,757.4688964
n_80,64.86962659,12.0568477,16.51081647
n_81,58.55617191,42.61935299,815.8454541
n_82,16.24710869,33.09323324,510.306406
n_83,39.74822026,41.23274575,786.6222766
n_84,61.18773069,8.690328536,410.9549502
n_85,36.7087029,3.588240869,549.4785224
n_86,38.45581414,77.693636,425.3473325
n_87,53.85554608,91.92045086,430.5714025
n_88,76.68048543,5.010197406,157.211185
n_89,34.4375916,20.64188957,902.9207099
n_90,94.36956328,48.59560855,433.2077357
n_91,37.48280197,65.78497906,684.8132371
n_92,25.44032048,10.36596618,245.5763882
n_93,49.8299674,54.21405117,474.8324982
n_94,37.88825149,12.30446259,339.3584134
n_95,4.061313549,14.29796417,443.0704304
n_96,97.32564384,8.245976597,700.0640258
n_97,26.30422573,6.905606427,143.799515
n_98,70.6562497,85.94551328,342.0710588
n_99,79.59101399,47.64434297,829.9703871
n_100,90.16434043,9.386056491,558.4928596
n_101,10.82947385,44.7136271,788.1377906
n_102,28.16267463,57.96446163,617.4423462
n_103,15.27370584,44.75529718,414.724575
n_104,0.138576872,45.7525612,127.3303851
n_105,86.49603909,89.13240801,496.4244126
n_106,5.71368216,15.75748054,93.56575941
n_107,2.983803832,70.05093193,834.3066858
n_108,72.71489403,5.291279958,722.4432756
n_109,28.16076844,0.960504026,558.1902924
n_110,79.83161348,70.85783264,26.51427736
n_111,5.158994194,33.7108969,657.7466899
n_112,85.74857747,19.85443742,661.9769619
n_113,23.34979768,1.081366615,76.29581882
n_114,3.676240752,33.15124531,199.0253209
n_115,64.25196392,94.2536187,683.1428524
n_116,23.0654975,53.70554051,541.3504459
n_117,46.74078566,16.01066904,189.787004
n_118,75.80315529,70.68580766,39.56446823
n_119,30.14049023,47.01110768,209.5181611
n_120,94.24906818,90.34963858,309.7947881
n_121,69.03867065,80.84278166,509.061599
n_122,30.11483475,38.77498569,119.792298
n_123,98.2503313,51.19813083,757.2801413
n_124,83.54678308,70.14013503,91.03619739
n_125,17.96155962,80.17149059,839.9311335
n_126,13.64233239,1.274795651,272.7972099
n_127,23.63603436,41.87000748,515.6119203
n_128,79.33007845,34.36244336,49.25006567
n_129,26.37897629,4.081083396,97.75205137
n_130,69.72609518,14.32876629,811.8511199
n_131,71.37808399,81.64881502,551.5646378
n_132,92.16701378,23.77515015,774.1331418
n_133,8.946012884,65.54382781,713.7162402
n_134,5.501844489,25.49459848,888.8425188
n_135,32.77304357,2.514435696,772.4509358
n_136,77.80016129,26.21214058,792.214239
n_137,8.383956563,42.01391646,533.3232582
n_138,34.91495993,71.09901605,587.5776125
n_139,18.89591073,98.35987434,635.49055
n_140,17.48577126,5.765949765,653.1819431
n_141,33.51291631,87.40843724,621.5648409
n_142,75.1982186,58.47618506,687.2597951
n_143,19.39590569,5.021296563,415.2466307
n_144,80.44185183,20.46421106,776.8852719
n_145,36.67089286,56.43487357,520.0722941
n_146,3.854715835,90.25260869,963.7945505
n_147,68.49518127,85.6011758,966.0010003
n_148,79.89114374,8.132678385,689.2393418
n_149,22.62284534,9.027407925,372.9919418
n_150,79.33756028,70.99695355,86.34025506
n_151,4.533945152,64.83347844,877.982587
n_152,34.07841699,76.68302757,997.7259579
n_153,1.813784615,15.28823685,604.4231382
n_154,70.33283468,6.691954279,821.7659616
n_155,58.3698223,1.093175936,776.9372124
n_156,89.42160361,87.13352714,404.442327
n_157,73.00745293,97.64348921,903.156884
n_158,62.36420052,61.75092338,764.1037727
n_159,69.96856524,52.38033578,897.2860973
n_160,46.66502716,70.78705444,274.7597718
n_161,98.07733241,86.67712344,374.2306688
n_162,86.94963756,95.31291167,602.0997693
